features,node id,f2,f2 imp,precision,recall,size,min val1,max val1,min val2,max val2
A2_min-Flow_min,8,0.0,0.13415431852171,0.0,0.0,19.305856832971802,-1.0941818356513977,0.11891614645719528,0.21896205842494965,0.7349224090576172
Ther_min-Flow_mean,5,0.08637236084452975,0.11986223240469718,1.0,0.0703125,18.655097613882862,-1.9135598540306091,inf,0.35544902086257935,0.7520808577537537
A2_min-Flow_mean,9,0.05030181086519115,0.11883139694427458,1.0,0.04065040650406504,18.926247288503255,-1.0941818356513977,inf,0.35544902086257935,0.7520808577537537
A2_max-Flow_mean,8,0.09803921568627451,0.11518168755106772,1.0,0.08,16.702819956616054,-0.4207678437232971,0.6166756749153137,0.35544902086257935,0.7520808577537537
Cur_min-Flow_mean,4,0.032679738562091505,0.11089170263375148,1.0,0.02631578947368421,18.329718004338392,-1000.0,-0.07010466605424881,0.35544902086257935,0.7520808577537537
Cur_mean-Flow_max,4,0.0847457627118644,0.10725240807639469,1.0,0.06896551724137931,17.082429501084597,-1000.0,-0.02230214886367321,0.4858994483947754,0.7715534269809723
Flow_mean-Flow_max,3,0.1037344398340249,0.10715212083991665,1.0,0.0847457627118644,18.709327548806943,0.35544902086257935,inf,-1000.0,0.7715534269809723
Ther_mean-Flow_max,5,0.1644100580270793,0.10679641594671396,1.0,0.136,15.02169197396963,-1.9114068746566772,inf,0.4858994483947754,0.7715534269809723
A1_min-Flow_max,4,0.1644100580270793,0.10679641594671396,1.0,0.136,17.570498915401302,-1000.0,0.7631454467773438,0.4858994483947754,0.7715534269809723
A2_mean-Flow_max,5,0.1724137931034483,0.10674499530065085,1.0,0.14285714285714285,17.02819956616052,-0.9080756604671478,inf,0.4858994483947754,0.7715534269809723
Ther_min-Flow_max,5,0.1724137931034483,0.10674499530065085,1.0,0.14285714285714285,14.967462039045554,-1.9135598540306091,inf,0.4858994483947754,0.7715534269809723
A1_mean-Flow_max,4,0.18796992481203006,0.10664169297463866,1.0,0.15625,17.462039045553148,-1000.0,0.9422813951969147,0.4858994483947754,0.7715534269809723
A1_max-Flow_max,4,0.18796992481203006,0.10664169297463866,1.0,0.15625,16.865509761388285,-1000.0,1.0930705666542053,0.4858994483947754,0.7715534269809723
A2_max-Flow_max,5,0.21023765996343693,0.10648557652037705,1.0,0.17557251908396945,17.570498915401302,-0.641274482011795,inf,0.4858994483947754,0.7715534269809723
Flow_max,3,0.21023765996343693,0.10648557652037705,1.0,0.17557251908396945,19.36008676789588,0.4858994483947754,0.7715534269809723,-1000.0,inf
A2_min-Flow_max,9,0.12295081967213115,0.10591172349582623,1.0,0.10084033613445378,15.238611713665945,-1.0864713191986084,inf,0.4858994483947754,0.7715534269809723
Ther_max-Flow_max,9,0.16966067864271456,0.10222200570158568,1.0,0.14049586776859505,13.232104121475055,-1.8924590349197388,inf,0.4858994483947754,0.7715534269809723
Cur_min-Flow_max,4,0.03614457831325301,0.09857244275556065,1.0,0.02912621359223301,14.425162689804772,-1000.0,-0.07010466605424881,0.4858994483947754,0.7715534269809723
Ther_mean-Flow_mean,6,0.0970873786407767,0.09053095762356023,1.0,0.07920792079207921,17.245119305856832,-1.9114068746566772,-1.7435315251350403,0.35544902086257935,0.7520808577537537
Ther_max-Flow_min,6,0.0,0.08894797293548862,0.0,0.0,19.739696312364423,-1.904971718788147,-1.7379516959190369,0.21896205842494965,0.7349224090576172
Ther_max-Flow_mean,6,0.10309278350515463,0.0840033633264422,1.0,0.08421052631578947,16.919739696312362,-1.904971718788147,-1.740866780281067,0.35544902086257935,0.7520808577537537
Pre_min-Flow_max,5,0.2462526766595289,0.083848798497837,1.0,0.2072072072072072,18.275488069414315,-2.946932792663574,inf,0.4858994483947754,0.7715534269809723
A2_min-Temp_max,12,0.41734860883797054,0.08254044026935403,1.0,0.36428571428571427,19.63123644251627,-1.0941818356513977,0.11891614645719528,-1.5045434832572937,-1.0540915131568909
A1_max-Flow_mean,8,0.12953367875647667,0.08059975885350856,1.0,0.10638297872340426,10.52060737527115,0.7609205543994904,1.0941011905670166,0.35544902086257935,0.7520808577537537
Vol_max-Flow_mean,11,0.043731778425655975,0.07907515867625958,1.0,0.03529411764705882,9.598698481561822,0.6995582282543182,inf,0.35544902086257935,0.7520808577537537
